Zone,Circle_Name,Division_Name,SubStation_Name,Feeder_Name,newMeterNumber,3/1/2026,3/2/2026,3/3/2026,3/4/2026,3/5/2026,3/6/2026,3/7/2026,3/8/2026,3/9/2026,3/10/2026,3/11/2026,3/12/2026,3/13/2026,3/14/2026,3/15/2026,3/16/2026,3/17/2026,3/18/2026,3/19/2026,3/20/2026,3/21/2026,3/22/2026,3/23/2026,3/24/2026,3/25/2026,3/26/2026,3/27/2026,3/28/2026,3/29/2026,3/30/2026,3/31/2026,4/1/2026,4/2/2026,4/3/2026,4/4/2026,4/5/2026,4/6/2026,4/7/2026,4/8/2026,4/9/2026,4/10/2026,4/11/2026,4/12/2026,4/13/2026,4/14/2026,Avg_Duration_Per_Day
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD KARELABAGH,33/11 KV KARELI,BHAWAPUR,SC10292830,24,24,23.5,23.5,24,24,24,22.5,24,null,23,21.5,20.5,24,20.5,23.5,21.5,23.5,20.5,23.5,23,24,24,23.5,24,23.5,24,24,24,23.5,24,24,23.5,24,21,22,24,24,23.5,22.5,23.5,22.5,23.5,24,24,23.25
VARANASI,EUDC I VARANASI,"EUDD MADHAULI, VARANASI",33/11 KV DPH,TOWN-I,SC10293047,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23.5,24,24,23,23,24,24,18.5,24,23.5,24,24,23,24,23.5,24,24,23.5,23.5,24,22.5,23,24,24,24,24,24,24,23.67777778
VARANASI,EUDC I VARANASI,"EUDD CHETMANI, VARANASI",33/11 KV RAM NAGAR,SEWAGE PLANT,SC10293124,24,24,24,24,24,23.5,24,24,24,24,22.5,24,23.5,24,24,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,23.87777778
VARANASI,EDC-CHANDAULI,EDD MUGALSARAI,33/11 KV KHAJOORGAON SUBSTATION,KAMLAPUR,SC10293330,24,24,24,24,24,24,22,24,24,23.5,14.5,18,23,24,24,24,24,20.5,24,22,23.5,21.5,24,24,24,24,24,24,24,24,24,24,24,24,20,23.5,23,24,24,24,24,24,23.5,24,24,23.25555556
MIRZAPUR,EDC-MIRZAPUR,EDD CHUNAR,33/11 KV TEHSHIL,Tahasil,SC10292937,23,21.5,22.5,6,24,22.5,22,24,22.5,23.5,24,24,24,22.5,23,23,22,22.5,22,22,22.5,24,20,22,21,21,22,20.5,22,22.5,22.5,22.5,23,null,null,null,null,null,null,null,null,null,null,null,22.5,22.01470588
PRAYAGRAJ,EDC KAUSHAMBI,EDD CHAYAL,33/11 KV MANAURI,ALAMCHANDRA-M,HP8500447,18,18.5,18,18,24,18,18,18,18.5,18,18,14.5,18,18.5,18,18,18,18.5,18,18.5,18,24,17,18,18,18,17,18,18,18,18,18,13.5,18,17,17,17,18,17.5,17,18,18,18,18,18,18
MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33/11 KV Pasahi,Shree Industry,HP8500610,24,24,23.5,23.5,null,24,24,24,24,24,24,21,24,23,24,24,24,24,24,23,20.5,21.5,24,24,24,23.5,23.5,23.5,24,24,24,21,23.5,21,18,21,21.5,21.5,19.5,11,24,24,24,24,24,22.82954545
MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33/11 KV Amwar,Duddhi,HP8500618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRZAPUR,EDC-MIRZAPUR,EDD CHUNAR,33/11 KV RAMPUR LATHIYA,SUBSTATION (RAMPUR LATHIYA),HP8500699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,null,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRZAPUR,EDC-MIRZAPUR,"EDD KACHCHAWA,MIRZAPUR",33/11 KV DEORI UTTAR,MUDPELI,HP8500763,20,19.5,17,20.5,24,null,18.5,21.5,19.5,19.5,18.5,20,18.5,20,20,21,19,19.5,18.5,19.5,19.5,24,21.5,15,20,20,19,19,19.5,20,19,20,15.5,19.5,17,17.5,20.5,21,22,21.5,20.5,20.5,20.5,19,20,19.68181818
AZAMGARH,EDC BALLIA,"EDD RASARA,BALLIA",33/11 KV MUDERA,Murera,HP9000159,19.5,19.5,19.5,19,23,20,19.5,20,20.5,21,null,16,20.5,19,19.5,17.5,16.5,18.5,19,17.5,17.5,22.5,19,18,19,18,18,17,19,18.5,18,19,19,18,null,14,8.5,16.5,15,17.5,17,16.5,17,17.5,17,18.19767442
VARANASI,EDC GHAZIPUR,EDD SAIDPUR,33/11 KV SAIDPUR RURAL,DEVCHANDPUR,HP9000245,19,16.5,17.5,18.5,24,18.5,19,19.5,21,20.5,19.5,19,20.5,18.5,18,18.5,19,18,19,19,14.5,19,18,18,19,17.5,16.5,12,15,17.5,17.5,16.5,13.5,16.5,13,14,14.5,16.5,16.5,18,18,17,16.5,17,18,17.62222222
AZAMGARH,EDC-MAU,"EDD GHOSI,MAU",33/11 KV AMILA TOWN,Thanidas,HP9000342,22.5,20,22.5,22.5,24,21,21,21,20,19,21.5,21.5,22.5,19.5,19.5,21.5,19.5,18.5,19.5,19.5,19.5,22.5,21,19.5,20,19.5,19,19.5,18.5,16.5,21,18.5,19.5,17.5,null,16,16,17,17.5,20,19.5,16.5,17,17.5,17,19.60227273
AZAMGARH,EDC BALLIA,"EDD BAIRIYA,BALLIA",33/11 KV JAI PRAKASH NAGAR,Rural/J P Nagar,HP9000363,22,14,21.5,23.5,24,21,22.5,24,21.5,21,23,19,19,18.5,19.5,19,18.5,19.5,19,18.5,16,17.5,18.5,19,18.5,19,19,17,10,18,19.5,19,17,17,null,15.5,13.5,19,15.5,19.5,20.5,19,17.5,18,16,18.80681818
AZAMGARH,EDC II AZAMGARH,"EDD KAPTANGANJ,AZAMGARH",33/11 KV GOPALGANJ,NARFORA,HP9000470,21.5,21.5,21,19.5,24,19,18.5,22,19,21.5,18,20,17,19,20.5,22,20.5,16,20.5,20,15,24,23.5,21,19.5,20,18.5,20.5,20,20,19,19,19.5,18,null,null,15.5,21.5,17.5,14,18.5,17.5,14.5,18,15.5,19.3255814
AZAMGARH,EDC II AZAMGARH,EDD PHOOLPUR,33/11 KV SARAIMEER SUBSTATION,TOWN2,HP9000491,21.5,21,22.5,23.5,24,22,23,22.5,22.5,23,23,18.5,22,22.5,22.5,23,22.5,22,23,22.5,23.5,23.5,23,22,22.5,22.5,22.5,22,16,19.5,22.5,22.5,22.5,23,18.5,14,21,22,21.5,21.5,23,22,22.5,23,22,21.9
AZAMGARH,EDC BALLIA,EDD BALLIA NAGAR,33/11 KV CIVIL LINE SUBSTATION,SUBSTATION,SC10293427,24,24,9.5,0,0,13,24,24,23.5,23.5,24,24,23,24,23.5,24,24,23.5,24,23,24,23.5,24,24,24,24,24,22.5,24,19.5,24,21.5,18,14.5,24,23.5,23.5,24,24,24,23.5,24,24,23,24,21.67777778
AZAMGARH,EDC BALLIA,EDD BALLIA NAGAR,33/11 KV PHEFANA,GARWAR,SC10293459,24,17,20,21.5,24,18.5,19.5,22,19.5,23.5,null,23,23.5,20.5,21,23,18.5,19.5,21.5,20.5,14.5,16,20.5,20,20.5,19,18.5,17.5,13,17,19.5,19,null,16.5,14.5,13.5,14.5,null,16,16.5,16,14.5,13.5,15,14,18.57142857
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD NAINI,33/11 KV NIC,Ram Leela maidan deyes 2,SC10349639,24,24,23.5,24,24,24,24,24,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,19.5,24,24,24,24,18.5,16,24,24,24,24,21.5,24,23.42222222
VARANASI,EDC II JAUNPUR,EDD MACHHLISHAHAR,SUJANGANJ,BELWAR,SC10349759,23,19,19,21.5,24,20,18.5,23,18.5,21,null,21.5,22.5,21,20.5,21.5,19,19.5,21.5,20,18.5,23.5,21,17,20.5,20,19,18.5,18,21,19.5,20,18.5,19.5,18,null,16,21.5,21.5,20,21,16.5,14,18,16,19.80232558
PRAYAGRAJ,EDC PRATAPGARH,EDD LALGANJ,33/11 KV RANIGANJ AZGARA,BADHANI,SC10292514,24,20.5,19,20.5,24,20,19.5,22,19,23.5,22.5,22.5,20,21.5,20.5,21,18.5,19.5,20,19.5,16,24,23,19.5,20,20,19.5,19,18.5,20.5,19.5,19.5,15.5,20,20,null,null,21.5,21.5,20,22,20.5,16,17.5,15.5,20.15116279
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD NAINI,33/11 KV SOMESHWARNATH,WORLD BANK,HP8500127,24,24,23.5,24,24,24,24,24,23,24,24,22,24,24,24,24,24,24,null,24,24,24,24,24,24,23.5,24,23.5,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,23.5,23.86363636
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV KAMALPUR,DEVIGANJ,HP8500460,21,22,18.5,20.5,24,22,19.5,23,19,23.5,23,20.5,19,22.5,20.5,21.5,19.5,18.5,null,19.5,16.5,15.5,20,20,20.5,21,20.5,18.5,19,20,20,20,12,19,17,18.5,17,21.5,19.5,21,21.5,19.5,16,21.5,16,19.75
MIRZAPUR,EDC-MIRZAPUR,EDD MIRZAPUR,33/11 KV INDI PARVAT,Sub Station,HP8500743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33/11 KV GEORGE TOWN,LIDDLE ROAD,HP8500909,18.5,24,24,23.5,24,24,24,24,23.5,24,24,24,24,null,24,24,24,24,24,23.5,23,24,24,23.5,24,24,24,24,24,24,24,24,23,24,23,24,23.5,23.5,24,23.5,24,23.5,24,24,24,23.71590909
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33/11 KV GEORGE TOWN,Panna Lal Road,HP8500912,24,24,24,24,24,24,24,24,23.5,24,24,24,23.5,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,23.5,24,23.5,24,23.5,24,24,24,24,24,24,24,24,23.93333333
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV DEVGAON,KANJHIT,HP9000025,19,21,19,21,24,19.5,19,19.5,19.5,20.5,19.5,19.5,20,19.5,20.5,22,19.5,20,19,19.5,19,23.5,22,20,19.5,17.5,19,20,15.5,20.5,19,19.5,19,21,null,17.5,19,20.5,18,20.5,18.5,15.5,13,14,16.5,19.29545455
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV TAHSIL MUKHYALAY LALGANJ KATGHAR,KATGHAR,HP9000098,22.5,23,22.5,23.5,24,22.5,22,null,21.5,22.5,null,22.5,23.5,21,22.5,23.5,22,22.5,22.5,21.5,22,20.5,23.5,22,22.5,21.5,22.5,22,22.5,22,21,21.5,22.5,20,null,21,22.5,23.5,22,23,22.5,22.5,21,23,20,22.20238095
AZAMGARH,EDC II AZAMGARH,EDD PHOOLPUR,PHOOLPUR,SOUTH,HP9000334,21,20,20.5,20.5,24,19.5,19,21,19,21,null,21,21.5,19.5,21,22,21,19.5,21,20,19.5,24,22.5,20.5,20,19.5,19.5,18,15.5,20.5,19,19.5,19.5,17.5,null,17.5,14,20,16.5,19,18,15,14.5,18,15.5,19.41860465
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV JHIRIKPUR,SIKRAURA,HP9000462,18.5,22,19,20.5,22.5,19,18.5,19.5,19.5,21.5,20,19.5,19,21,20,21,19.5,19.5,19,18,17.5,15.5,21.5,18.5,17.5,19,19.5,18.5,14.5,19.5,19,19,17.5,19.5,null,18.5,13,16,14,16.5,16,15.5,13.5,15,14,18.30681818
AZAMGARH,EDC II AZAMGARH,"EDD SATHIYAON,AZAMGARH",33/11 KV CHAKRAPANPUR,MEDICAL,HP9000825,22,20.5,19,20.5,24,19.5,19.5,20,21,22,24,21.5,20,22.5,22,21.5,20.5,20,20.5,21,19,19.5,22,20.5,21,20,19.5,19,15.5,21,19,18.5,20,19.5,null,18,15.5,19.5,19,18,19.5,15,13.5,18.5,14,19.68181818
VARANASI,EDC-CHANDAULI,EDD CHANDAULI,33/11 KV BILARIDHIH,PANDEYPUE,HP9001061,20.5,19,18.5,19,24,18.5,19,19.5,18,21.5,21,18.5,19,19,19,20,20,20,20,20,18.5,17.5,20,19,19,20,20,19.5,18.5,19.5,19.5,20,19,19.5,null,16.5,15.5,17.5,16.5,18.5,17.5,17,12.5,17,17.5,18.85227273
VARANASI,EDC VARANASI,EDD CHIRAIGAON,33/11 KV SARNATH,CHAUBEYPUR,HP9001096,24,24,24,24,24,23.5,24,24,23,23,24,24,23.5,23.5,23.5,24,24,24,23,24,21,20,24,23,24,24,24,21,21.5,24,24,23.5,24,24,null,20,22,24,24,24,24,24,24,23,23,23.38636364
PRAYAGRAJ,EDC PRATAPGARH,"EDD KUNDA,PRATAPGARH",33/11 KV JETHWARA,UMARI KOTILA,SC10292614,21.5,22.5,21.5,21.5,24,21.5,null,22,20,19,22.5,24,21.5,20.5,20.5,20.5,18.5,null,null,null,19.5,22,22,19,21,19.5,19.5,19,20.5,20,18.5,20.5,19.5,20.5,22,18,12,22,18.5,17.5,21,19.5,13.5,20,19,20.13414634
PRAYAGRAJ,EDC PRATAPGARH,EDD RANIGANJ,33/11KV BHUPIAMAU,KATRA MEDNIGANJ,SC10292682,21.5,22,19,22,24,22,22,22.5,22,21.5,22,22,22,22,null,21.5,22,22,21.5,22,20,24,22,22,22,22,22,22,21.5,22.5,22.5,22,20.5,18.5,21,22.5,20,21.5,22,22,22,22,21.5,22,21.5,21.75
PRAYAGRAJ,EDC PRATAPGARH,"EDD KUNDA,PRATAPGARH",33/11 KV KATRA GULAB SINGH,JAGDISHPUR,SC10292711,22,23,22.5,23,24,22,22.5,23.5,22.5,23,24,21.5,22.5,22,21.5,22,22.5,null,21.5,22,21,24,22.5,23,22,22.5,22.5,22.5,22.5,22.5,22.5,21,20,22.5,21,17,21,21.5,22.5,22,19,22.5,18.5,22.5,17.5,21.89772727
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV  GHATMAPUR,GHATMAPUR,SC10292792,17.5,19.5,18.5,20,21.5,17,19.5,18,20,20.5,18.5,18,18.5,20.5,null,19.5,20,19.5,null,19,18.5,20.5,20.5,20,19,21,19.5,14.5,18.5,20.5,19,20,13.5,19,19.5,16.5,15,20,19.5,19.5,21,17,17,19,16.5,18.8372093
VARANASI,EUDC I VARANASI,"EUDD CHETMANI, VARANASI",33/11 KV BHU,KAVALDHAM,SC10293114,24,23.5,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,23.95555556
AZAMGARH,EDC I AZAMGARH,"EDD SAGADI,AZAMGARH",33/11 KV MAUKUTUBPUR,BAJAR GOSAI,SC10293389,0,0,0,0,0,0,0,12,19,19.5,null,19,16.5,19.5,21.5,22.5,21.5,20,20.5,18.5,16,17,16.5,22.5,19,21,19.5,20,19.5,20,20.5,20.5,21,15,15,17,15.5,18,16.5,18,16.5,16,16,17.5,15.5,15.44318182
AZAMGARH,EDC-MAU,EDD MAU,33/11 KV BHITI MAU SUBSTATION,BUNAI VIDHYALAY,SC10293481,24,24,24,24,24,24,22.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,22.5,22.5,21.5,24,22.5,24,24,24,23.5,22,24,23.73333333
PRAYAGRAJ,EDC II PRAYAGRAJ,EDD HANDIA,33/11 KV SAIDABAD,KHAPTIHAN,SC10349586,null,null,null,null,24,19,19,20,20,23.5,23.5,24,22.5,20.5,20.5,23.5,19,19.5,21,20.5,18,24,22,20.5,19.5,19.5,18.5,20.5,19.5,21,21.5,20,13.5,20.5,17,19.5,18,20.5,21,19.5,21,18.5,16,21.5,19,20.24390244
PRAYAGRAJ,EDC I PRAYAGRAJ,EDD MEZA,33/11 KV AUNTA,Lehedi new,SC10349622,24,21,21,20.5,24,21,20.5,22.5,22,22.5,22.5,21.5,21.5,21,20.5,21,21,19,21,21,8,22,21.5,21,21,21,null,null,null,21.5,20,20.5,14,19.5,19.5,20.5,22,21,18,11.5,21.5,19,18,19.5,21,20.25
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33/11 KV JHALWA,11 KV JHALWA,HP8500142,24,24,23.5,null,24,24,null,24,23.5,24,22.5,23.5,23,24,24,24,22,23,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,23,24,23.5,23,24,24,23,21.5,24,24,24,24,23,23.6627907
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD KALYANIDEVI,33/11 KV KHUSRU BAGH,WATER WORKS-3,HP8500175,21.5,24,22.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,23.88888889
PRAYAGRAJ,EDC PRATAPGARH,EDD LALGANJ,33/11 KV RAHATEEKAR,RAHATEEKAR,HP8500207,19.5,21.5,18.5,19,24,19,18.5,20,20,20.5,19.5,19.5,20,20,null,21.5,20,19.5,20,19,19,16.5,23,20.5,17.5,20,17.5,19.5,19.5,19.5,19,18.5,8,17.5,18,16,9,20,17.5,19,19,18.5,13.5,20,16.5,18.68181818
MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,33/11 KV Ghuwas,SIRSAI,HP8500541,0.5,2,2,null,0,3,2,2,2.5,0,0.5,2.5,1,4.5,3,4.5,9.5,4.5,3.5,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,3.5,3,3,5.5,7,9,7.5,null,null,7,2.657142857
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33/11 KV TELIYARGANJ,11 KV PRINTING F RASULABAD,HP8500923,24,24,23.5,23.5,24,24,24,24,24,24,24,24,24,24,null,24,24,24,24,24,23,24,24,23,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,23.90909091
AZAMGARH,EDC II AZAMGARH,"EDD SATHIYAON,AZAMGARH",33/11 KV MUBARAKPUR,TOWN-2,HP9000113,23.5,22.5,23,23,24,22.5,22.5,23.5,22.5,24,24,24,23.5,22.5,22.5,23.5,22,21.5,22.5,22.5,22,20.5,22.5,20.5,22.5,21.5,21,21.5,22,22.5,22,22.5,22,21,null,20.5,24,23,23.5,23.5,23.5,22,21,22.5,22.5,22.48863636
AZAMGARH,EDC I AZAMGARH,"EDD SAGADI,AZAMGARH",33/11 KV MAHARAJGANJ,WEST,HP9000177,19.5,20,20,21,24,19.5,19,19.5,20,21.5,null,20,20.5,21,19,21,19,20,21,19.5,20.5,16.5,21,19,19.5,18,19.5,19,18,20.5,20,18.5,18.5,17.5,null,16,15,16.5,17,18.5,18,17,17,18,17.5,19.10465116
VARANASI,EDC VARANASI,EDD CHIRAIGAON,33/11 KV CHOLAPUR,NIYARDIH,HP9000501,24,24,24,24,24,17.5,23,24,24,24,24,24,24,23.5,23.5,24,24,24,23.5,23.5,23,18.5,24,24,23.5,23,24,22,22.5,24,24,24,21.5,22,null,23.5,21,24,23,23,22.5,20.5,23.5,23.5,24,23.15909091
VARANASI,EUDC II VARANASI,"EUDD RAJGHAT, VARANASI",33/11 KV KASHI,CITY,HP9000746,24,23.5,23.5,24,24,22,24,24,24,24,24,23,24,24,24,24,23.5,24,24,24,23,24,24,24,24,24,23.5,24,24,24,24,24,24,24,null,24,24,23,23.5,24,24,23.5,24,24,24,23.81818182
VARANASI,EDC GHAZIPUR,EDD SAIDPUR,33/11 KV MAUDHA,JABARANPUR,HP9000778,18.5,18.5,18.5,19,24,19,18.5,null,17.5,20.5,null,19,17.5,19,17.5,15,19,18.5,19,19.5,15.5,14,19,18,18.5,17,19.5,12,12.5,18,18,17,16.5,17,null,6,12,19,18,15.5,11.5,17,15.5,16.5,16.5,17.0952381
VARANASI,EDC VARANASI,"EDD HARAHUA, VARANASI",33/11 KV PINDRA,BASNI,HP9000894,24,24,24,24,24,22.5,23.5,24,24,24,23,23,24,24,23.5,24,23.5,24,23.5,23.5,23,15.5,23.5,24,24,24,24,24,23.5,24,22,22.5,23.5,24,21.5,22.5,22.5,23,23,23,23,21,21.5,24,21.5,23.15555556
VARANASI,EDC GHAZIPUR,EDD SAIDPUR,132/33/11 KV SADAT,GURAINI NEW,HP9000926,18.5,19,19,19,24,18.5,18.5,19.5,19,19.5,19,18.5,19.5,19,19,18.5,18.5,18,19,19,19,23,17.5,18.5,19,19,19,19,17,19,19,18.5,18,16.5,null,16.5,16.5,17.5,18,18,16.5,16,16,16.5,16,18.45454545
PRAYAGRAJ,EDC PRATAPGARH,EDD PRATAPGARH,33/11 KV DHAKWA,PUMP CANAL,SC10292516,24,null,20,21,24,null,19.5,23.5,19.5,22.5,22,23,19.5,20.5,null,20.5,20.5,20,20.5,19,16,23.5,15,21,19,19.5,19.5,11.5,12,19.5,19.5,19.5,13.5,16,15,20,19.5,19.5,17.5,20.5,19,15.5,14,16.5,13,18.91666667
PRAYAGRAJ,EDC PRATAPGARH,EDD RANIGANJ,33/11 KV VISHWANATHGANJ,BOJHI,SC10292632,24,21.5,20,20.5,24,19.5,18,23.5,19.5,22.5,21,23.5,19.5,21,20,22,19.5,20.5,22,20,19,23.5,23,20,19.5,20,20,20,20.5,20.5,19,19.5,18,20.5,18.5,19.5,18,21.5,19.5,20.5,21,21,18,20.5,19.5,20.5
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV VAISHKATI,KABRAHA,SC10292814,19.5,20.5,19.5,19,24,18.5,19,19,17.5,18,20.5,18.5,14,19.5,18,19.5,19.5,18,19,17.5,16.5,24,18.5,17.5,18,19,18,16,18.5,18,18.5,18,11.5,16.5,18,18,17,18.5,13.5,16.5,17,15.5,15.5,15.5,16,17.95555556
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV DEVKHAR PUR,WORLD BANK PTW,SC10292828,null,10,10,10,10,10,10,10,9.5,10,10,10,9.5,10,9.5,7.5,10,null,9,10,8.5,9,10,9.5,9,10,9.5,9,10,10,10,7.5,8.5,7,3.5,3.5,6,6.5,7,6,8,5,5.5,8,7.5,8.581395349
MIRZAPUR,EDC-MIRZAPUR,EDD MIRZAPUR,33/11 KV AKASAULI,CHANDIKA DHAM,SC10292868,19,20,19,21.5,23.5,20,19.5,19.5,12.5,21,20.5,20.5,16.5,21.5,18,21.5,19.5,18.5,21.5,20,16,22.5,17,18.5,null,16.5,20,null,11,20.5,19,19.5,17.5,19.5,12,10.5,13.5,20.5,18,12.5,17.5,16.5,14,15,20,18.1627907
VARANASI,EUDC I VARANASI,"EUDD MADHAULI, VARANASI",33/11 KV RANIPUR,SPARE4,SC10293161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZAMGARH,EDC-MAU,EDD MAU,33/11 KV INDUSTRIAL TAJOPUR SUBSTATION,INDUSTRIAL FEEDER,SC10293464,24,17.5,24,24,24,22.5,24,24,22.5,24,24,24,24,24,24,24,24,22,24,24,23.5,16,24,24,24,24,24,24,24,23.5,24,23.5,22,20,23,23.5,20.5,24,24,24,24,24,23.5,22,24,23.23333333
PRAYAGRAJ,EDC I PRAYAGRAJ,"EDD YAMUNAPAR,PRAYAGRAJ",33/11 KV SHANKARGARH,JUHI,SC10349534,23,21.5,20,23,23,21,null,22,21.5,23,23,22,21.5,21.5,19.5,21.5,16,21,19.5,20.5,20,12,20,21,21.5,21,21,18.5,21,22,19,21.5,15,21,20,null,null,null,18,null,null,null,null,null,null,20.47142857
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD BAMRAULI,33/11 KV KASARI MASARI,11 KV O/G RAJROOP PUR,HP8500153,24,24,null,23.5,24,24,24,24,24,24,22.5,24,24,24,24,24,24,24,24,24,22,24,24,24,null,null,24,24,24,24,24,24,22.5,24,24,24,24,24,24,24,24,24,24,24,23.5,23.85714286
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD RAMBAGH,33/11 KV FORT ROAD,11 KV TRIVENI,HP8500320,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,null,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,23.5,23.5,24,24,24,24,24,23.90909091
MIRZAPUR,EDC SONBHADRA,EDD PIPARI,33 /11 KV Dala,Kota,HP8500652,24,18,23,24,24,24,24,24,24,24,23.5,24,22.5,23.5,24,24,24,24,24,24,23,10.5,24,24,24,24,23.5,24,24,24,24,24,24,23.5,22.5,21,22.5,24,24,23.5,24,23.5,23.5,24,24,23.27777778
PRAYAGRAJ,EDC I PRAYAGRAJ,EDD MEZA,33/11 KV LALTARA,Dasauti New,HP8500903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VARANASI,EDC GHAZIPUR,EDD SAIDPUR,33/11 KV MIRZAPUR,BARAGAON,HP9000217,19.5,19,19,19,24,19,18.5,19,18.5,19.5,19.5,20.5,17.5,18,16,18.5,19,18.5,18.5,18.5,16,19.5,17,18.5,19,18.5,19,19,19,19,18,19,14.5,17,null,16.5,15,17.5,17.5,18,16.5,17,15.5,17,15,18.13636364
AZAMGARH,EDC II AZAMGARH,EDD PHOOLPUR,33/11 KV PUSHPANAGAR,DEEDARGANJ,HP9000456,20.5,19.5,21,20.5,24,19,19,21,17.5,20,19.5,21,20.5,20.5,20,22.5,20,19.5,20.5,20,20,24,22.5,20.5,19.5,20,20.5,19.5,14.5,21,19.5,19,17,17,null,null,10,17,13.5,18.5,19.5,14,13,18,14,19.02325581
VARANASI,EDC I JAUNPUR,"EDD BUXA,JAUNPUR",33/11 KV KUDDUPUR,BIRBHANPUR,HP9000510,22.5,17.5,19,21.5,24,19.5,19.5,22.5,19.5,21.5,21.5,21.5,22.5,15,22.5,21.5,13,18.5,21,20,19,17,21.5,20,20.5,20,20,16.5,19.5,21,19.5,20,18,20,null,20,20,22,21,20.5,22,22,20,21,20.5,20.125
VARANASI,EUDC II VARANASI,"EUDD MACHCHODARI, VARANASI",33/11 KV MAIDAGIN,AZAD PARK,HP9000684,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,null,23,24,24,24,24,22.5,24,24,24,24,23.93181818
VARANASI,EDC VARANASI,"EDD HARAHUA, VARANASI",33/11 KV KUDI,KANIAR,HP9000999,24,24,24,24,24,24,24,24,24,24,null,24,24,24,24,24,24,24,24,24,24,20,24,24,24,24,24,21.5,24,24,23.5,24,24,24,null,23,24,23.5,23.5,24,24,24,24,24,24,23.79069767
PRAYAGRAJ,EDC FATEHPUR,"EDD BINDAKI,FATEHPUR",33/11 KV BINDKI TAHSIL,SUBSTATION,SC10292770,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0.081395349
